Description,Type
"Checking file system on C drive 

Running system repair on start up 
Advised to allow this to complete - this completed while on the telephone and was able to access. 

",Others
"Tablet not connecting to the network.

",Others
"Job Request - new remote access arrangments

Due to the change in the remote access arrangements to the High Peak Borough Council IT systems I can no longer have remote access when working away from HPBC premises. This will require ICT to review the settings on my Derbyshire County Council laptop using the public wifi at Buxton when I am working at Buxton Town Hall.

This is being coordinated by HPBC staff member Lindsay Derbyshire and for Northgate by Andrew Hopkins.

I am working at Buxt",Others
"Customers account was locked and also password needed syncing

Unlocked account and customer can now access fine
Also reset password and guided Colin through syncing the password with phone password ",Lockouts
"Account expired

Description of Issues: Paul called as he was getting a message to say his account had expired. Paul is leaving the authority today.

Actions taken to Resolve: Account was set to expire yesterday (as per call 156975). Paul will speak with his manager about this.

If Paul calls back, enable account and set it to expire at the end of today.",Others
"Nothing occurs when pressing Ctrl Alt Del

Has restarted - same issue 
This is when using a tablet recently provided 
Keys work fine up until that point. 

Contact - 01298 71113

",Others
"Help request

Hi,

I cannot connect to Keystone Workbench from the intranet.



Regards

Adrian Corbishley
Asset Programme Officer
Asset Management
Staffordshire Moorlands District Council and High Peak Borough Council
Tel: 01538 395 400 Ext. 4177
Email: adrian.corbishley@highpeak.gov.uk<mailto:adrian.corbishley@highpeak.gov.uk>



________________________________

",Others
"Unable to access webmail.highpeak.gov.uk

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Account Issues

",Others
"Lap Top

Please can Andrew Hopkins help me with the Lap Top I have borrowed.  I tried to log on at home and couldn?t.  Please can you help with this, and maybe reset my password?

Thank you

June

June Hammond
Local Land Charges Officer
High Peak Borough Council
Tel 0345 129 77 77 ex 4460
Land-searches@highpeak.gov.uk


________________________________

",Others
"Password reset, customer can now log in. Customer Verified: Yes.

Closing Call",Lockouts
"Netcool event for High Peak DC: [STAL-PTC]


Description: [20/1/2018 12:48:50] -  NOTICE: Windows Service PTC Agent (Civica Automation Agent) is in a STOPPED status where previously it was in a RUNNING status.

Description: [20/1/2018 12:48:50] -  NOTICE: Windows Service PTC Agent 2 (Civica Automation Agent 2) is in a STOPPED status where previously it was in a RUNNING status.

Description: [20/1/2018 12:48:50] -  NOTICE: Windows Service PTC Server (Civica Automation Server) is in a STOPP",Others
"Netcool event for Moorlands DC: [SM-Biddulph-Switch1]


Description: [20/1/2018 11:17:53] -  DVC Failed - Pings Complete: Timed out

Department: Network Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Netcool event for High Peak DC: [STAL-ORACLE-1]


Description: [20/1/2018 8:26:38] -  NOTICE: Windows Service HP StorageWorks VSS Hardware Provider (HP StorageWorks VSS Hardware Provider) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Computers logging off randomley 

",Others
"FW: Auto payment line SMDC

Is there anyway of testing this line please?  Or do you know why this would happen?

Thanks Carolyn

From: Ash, Karen
Sent: 18 January 2018 16:58
To: Customer Service Seniors
Subject: Auto payment line SMDC

Suz Harper has mentioned that she has had two occassions in the last week where customers have advised that they have used the telephone auto payment line for Council Tax SMDC, and at the point where they normally get the authorisation code the line jus",Others
"Flare login...

Hi.
David Smith Forwarded my Flare user name and password?
but they don?t seem to be working?
If they are ok, do I need to be putting something into the System tab also? As it appears to be blank.

Thanks
Kind Regards
Wayne G. Farrell

________________________________
",Others
"Customers account was locked

Unlocked account and customer can now access fine
Unlocked account and reset password",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Description of Issues: Liza reports that her Archive folder in Outlook is not opening as she gets an error to say the folder cannot be opened.

Actions taken to Resolve: Remoted onto machine, closed down and reopened Outlook to resolve the issue",Others
"Audio Device on Fowlchurch computers

Hi,

I have access to an online training course that I need to undertake in the near future.

I have attempted to start it this morning on the upstairs computer at Fowlchurch Depot 3415 but have been unable to proceed. The course includes an accompanying audio which has created two issues.

-          There is no audio device installed on the computer.

-          There is no port to plug in the headset ? although I could listen to it aloud if the ",Others
"Password reset, customer can now log in. Customer Verified: Yes.

Closing Call",Lockouts
"Intranet

Hi

Unable to log on to our intranet the following appears

[cid:image001.png@01D390FE.D1C79FD0]

Thanks
Shirley

Shirley Mamczur
Technical Assistant Post & Print
High Peak Borough Council & Staffordshire Moorlands District Council
P O Box 136
BUXTON
Derbyshire
SK17 1AQ

Telephone : 0345 129 7777  Ext 2239
E:Mail  :  shirley.mamczur@highpeak.gov.uk


________________________________

",Others
"Remote session expiry

Hi
My remote desktop session keeps expiring randomly without apparent reason
Andrew Hopkins onsite rebooting
Thanks
Christine

Christine Green
Finance & Procurement Service
High Peak Bororugh Council
Staffordshire Moorlands District Council
01298 284000 x4470
christine.green@highpeak.gov.uk

",Others
"Intranet

Hi

Several of my colleagues are unable to access the intranet.

Error message:

Error
The website encountered an unexpected error. Please try again later.
Error message
PDOException: SQLSTATE[HY000] [2013] Lost connection to MySQL server at 'reading initial communication packet', system error: 111 in lock_may_be_available() (line 167 of /var/www/intranet.alliance-online.org/releases/20170818084752/includes/lock.inc).


Thanks

Hazel Walker

01538 395400 Ex: 4131

_",Others
"David's desk phone x4421 is not working

Please email or ring him",Others
"FW: THC 25 Mersey Bank Road Hadfield

I AM STILL GETTING THIS ACCEPTANCE EMAIL !?

-----Original Appointment-----
From: Carol Wilson [mailto:CWilson@Derbys-Fire.Gov.UK]
Sent: 18 January 2018 12:55
To: Collinson, Maxine
Subject: Accepted: THC 25 Mersey Bank Road Hadfield
When: 16 January 2018 14:30-15:30 (UTC+00:00) Dublin, Edinburgh, Lisbon, London.
Where: Hadfield





  ________________________________

",Others
"Intranet issues

Hi
I can?t get onto the Intranet again

Jane

Jane Curley (Mrs)
Senior Planning Officer
01538 395400 ext 4124
Mobile 07794 768397


________________________________

",Others
"Intranet issue

Caller is receiving SQL errors when accessing the intranet. Advised of known error 155485 and linking case

",Others
"Internet down again.

Internet / Intranet down again.

Kind regards,

Rachael Simpkin
Senior Planning Officer (Majors)
Development Services

Highpeak Borough Council and Staffordshire Moorlands District Council

T: 01538 395 400 x4122
M: 07976 753719

Working Days: Monday, Tuesday and Wednesday am


________________________________

",Others
